1	113738902
2	1481306
3	427065
4	486664
5	557241
6	578152
7	543863
8	469514
9	379256
10	285708
11	203925
12	138696
13	89072
14	56163
15	33556
16	20110
17	11626
18	6580
19	3860
20	2222
21	1422
22	957
23	745
24	545
25	461
26	433
27	425
28	402
29	357
30	342
31	357
32	360
33	360
34	324
35	313
36	320
37	280
38	312
39	312
40	293
41	341
42	297
43	275
44	291
45	276
46	242
47	263
48	236
49	239
50	212
51	198
52	195
53	169
54	176
55	142
56	147
57	140
58	122
59	129
60	139
61	116
62	105
63	113
64	82
65	85
66	76
67	80
68	76
69	71
70	72
71	50
72	55
73	42
74	36
75	38
76	31
77	13
78	22
79	25
80	19
81	15
82	19
83	14
84	2
85	9
86	9
87	14
88	8
89	6
90	6
91	8
92	6
93	4
94	7
95	3
96	6
97	8
98	11
99	7
100	7
101	6
102	4
103	6
104	18
105	4
106	9
107	6
108	12
109	9
110	13
111	2
112	11
113	8
114	7
115	4
116	9
117	4
118	2
119	6
120	4
121	8
122	2
123	8
124	9
125	8
126	4
127	8
128	8
129	4
130	5
131	6
132	8
133	7
134	7
135	6
136	6
137	6
138	7
139	6
140	10
141	6
142	4
143	9
144	7
145	4
146	8
147	4
148	3
149	3
150	13
151	3
152	6
153	9
154	6
155	6
156	6
157	9
158	4
159	9
160	3
161	5
162	6
163	3
164	4
165	5
166	4
167	6
168	5
169	6
170	4
171	8
172	2
173	8
174	9
175	9
176	4
177	6
178	6
179	3
180	7
181	12
182	6
183	7
184	5
185	6
186	3
187	8
188	7
189	7
190	5
191	2
192	3
193	1
194	4
195	15
196	6
197	3
198	4
199	4
200	4
201	8
202	3
203	4
204	5
205	6
206	2
207	3
208	5
209	8
210	4
211	3
212	7
213	2
214	3
215	7
216	10
217	4
218	5
219	4
220	9
221	2
222	2
223	3
224	3
225	4
226	3
227	3
228	1
229	2
230	5
231	2
232	1
233	3
234	4
235	3
236	1
237	2
239	5
240	3
242	1
244	1
245	1
246	3
248	1
251	1
252	2
253	1
254	1
255	1
257	2
258	1
259	1
261	1
269	1
270	1
277	1
278	1
279	1
300	1
301	1
307	1
312	1
314	1
315	1
318	1
327	1
334	1
471	1
478	1
479	2
481	1
487	1
509	1
512	1
536	1
553	1
577	1
578	1
584	1
593	1
598	1
609	1
620	1
626	1
638	1
664	1
669	1
670	1
681	2
708	1
709	1
728	1
730	1
757	1
771	1
804	1
825	1
849	1
900	1
910	1
992	1
996	1
1083	1
1096	1
1192	1
1203	1
1305	1
1312	1
1392	1
1473	1
1483	1
1509	2
1511	1
1517	1
1518	1
1524	1
1559	1
1610	1
1635	1
1651	1
1656	1
1741	1
1798	1
1819	1
1846	1
1917	1
1948	1
1999	1
2065	2
2150	1
2176	1
2240	1
2293	1
2299	1
2433	1
2617	1
2623	1
2816	1
2981	1
3019	1
3201	1
3378	1
3459	1
3771	1
3879	1
4081	1
4203	1
4420	1
4755	1
5155	1
5606	1
6141	1
6366	1
6750	1
1480505	1
